,locality,postcode,kitchen_has,furnished,facades_number
58128,9100,9100.0,1,0,-999
58129,1190,1190.0,1,0,-999
58130,1030,1030.0,1,0,-999
58131,8370,8370.0,1,0,-999
58132,1030,1030.0,1,0,-999
58133,8790,8790.0,1,0,-999
58134,1180,1180.0,1,0,-999
58135,1160,1160.0,1,1,-999
58136,8400,8400.0,1,0,-999
58137,1070,1070.0,1,0,-999
58138,1050,1050.0,1,0,-999
58139,1200,1200.0,1,0,-999
58140,1180,1180.0,1,0,-999
58141,4000,4000.0,1,0,-999
58142,8000,8000.0,1,0,-999
58143,2900,2900.0,1,0,-999
58144,1050,1050.0,1,0,-999
58145,1000,1000.0,1,0,-999
58146,1050,1050.0,1,0,-999
58147,1731,1731.0,1,0,-999
58148,2100,2100.0,1,0,-999
58149,2220,2220.0,1,0,-999
58150,9050,9050.0,1,0,-999
58151,1040,1040.0,1,0,-999
58152,8300,8300.0,1,0,-999
58153,2850,2850.0,1,0,-999
58154,9470,9470.0,1,0,-999
58155,2060,2060.0,1,0,-999
58156,8300,8300.0,1,0,-999
58157,8660,8660.0,1,1,-999
58158,2000,2000.0,1,0,-999
58159,2060,2060.0,1,0,-999
58160,1730,1730.0,1,0,-999
58161,1200,1200.0,1,1,-999
58162,1060,1060.0,1,0,-999
58163,1348,1348.0,1,0,-999
58164,4540,4540.0,0,0,-999
58165,1050,1050.0,1,0,-999
58166,4000,4000.0,1,0,-999
58167,8531,8531.0,1,0,-999
58168,2870,2870.0,1,0,-999
58169,6700,6700.0,1,0,-999
58170,6700,6700.0,1,0,-999
58171,6700,6700.0,1,0,-999
58172,9810,9810.0,1,0,-999
58173,6700,6700.0,1,0,-999
58174,6700,6700.0,1,0,-999
58175,6700,6700.0,1,0,-999
58176,6700,6700.0,1,0,-999
58177,6700,6700.0,1,0,-999
58178,1755,1755.0,1,0,-999
58179,9100,9100.0,1,0,-999
58180,1160,1160.0,1,0,-999
58181,2000,2000.0,1,0,-999
58182,6032,6032.0,1,0,-999
58183,4020,4020.0,1,0,-999
58184,4500,4500.0,1,0,-999
58185,4020,4020.0,1,0,-999
58186,8370,8370.0,0,0,-999
58187,5060,5060.0,1,0,-999
58188,2100,2100.0,1,0,-999
58189,4040,4040.0,1,0,-999
58190,6032,6032.0,1,0,-999
58191,3000,3000.0,1,0,-999
58192,4500,4500.0,1,0,-999
58193,1082,1082.0,1,0,-999
58194,1082,1082.0,1,0,-999
58195,2060,2060.0,1,0,-999
58196,7170,7170.0,1,0,-999
58197,9230,9230.0,0,0,-999
